order_id,customer_id,order_date,status,sales_channel,currency,order_total,discount_amount,shipping_city,shipping_country
50001,1001,2024-04-02,DELIVERED,WEB,JPY,12800.00,0.00,Tokyo,Japan
50002,1002,2024-04-03,DELIVERED,MOBILE,JPY,6450.00,500.00,Osaka,Japan
50003,1003,2024-04-03,SHIPPED,WEB,TWD,3200.00,0.00,Taipei,Taiwan
50004,1004,2024-04-04,DELIVERED,MARKETPLACE,INR,1899.00,100.00,Bengaluru,India
50005,1005,2024-04-04,RETURNED,WEB,EUR,79.90,0.00,Milan,Italy
50006,1006,2024-04-05,DELIVERED,MOBILE,EUR,124.50,10.00,Dublin,Ireland
50007,1007,2024-04-05,SHIPPED,WEB,GBP,45.00,0.00,London,United Kingdom
50008,1008,2024-04-06,CANCELLED,WEB,EUR,32.00,5.00,Lyon,France
50009,1009,2024-04-06,DELIVERED,MARKETPLACE,EUR,185.75,15.00,Madrid,Spain
50010,1010,2024-04-07,DELIVERED,MOBILE,BRL,249.90,0.00,Sao Paulo,Brazil
50011,1011,2024-04-08,DELIVERED,WEB,USD,89.99,0.00,San Francisco,United States
50012,1012,2024-04-08,SHIPPED,WEB,USD,220.00,20.00,New York,United States
50013,1013,2024-04-09,DELIVERED,MOBILE,DKK,499.00,0.00,Copenhagen,Denmark
50014,1014,2024-04-09,DELIVERED,WEB,EUR,149.95,0.00,Berlin,Germany
50015,1015,2024-04-10,PENDING,WEB,EUR,58.50,0.00,Paris,France
50016,1016,2024-04-10,DELIVERED,MOBILE,JPY,9800.00,1200.00,Nagoya,Japan
50017,1017,2024-04-11,SHIPPED,WEB,KRW,76000.00,0.00,Seoul,South Korea
50018,1018,2024-04-11,DELIVERED,MARKETPLACE,HKD,450.00,50.00,Hong Kong,Hong Kong
50019,1019,2024-04-12,DELIVERED,WEB,AUD,159.00,0.00,Sydney,Australia
50020,1020,2024-04-12,RETURNED,MOBILE,NZD,89.95,0.00,Auckland,New Zealand
50021,1021,2024-04-13,DELIVERED,WEB,JPY,4200.00,0.00,Sapporo,Japan
50022,1022,2024-04-13,SHIPPED,MARKETPLACE,CHF,110.00,10.00,Zurich,Switzerland
50023,1023,2024-04-14,DELIVERED,WEB,CAD,68.25,0.00,Toronto,Canada
50024,1024,2024-04-14,CANCELLED,MOBILE,CZK,1250.00,250.00,Prague,Czechia
50025,1025,2024-04-15,DELIVERED,WEB,KRW,54000.00,0.00,Busan,South Korea
50026,1026,2024-04-15,DELIVERED,MARKETPLACE,EUR,210.00,25.00,Rome,Italy
50027,1027,2024-04-16,SHIPPED,MOBILE,USD,39.99,0.00,Seattle,United States
50028,1028,2024-04-16,DELIVERED,WEB,EUR,325.00,0.00,Hamburg,Germany
50029,1029,2024-04-17,PENDING,WEB,SEK,799.00,0.00,Stockholm,Sweden
50030,1030,2024-04-17,DELIVERED,MOBILE,INR,3250.00,300.00,Mumbai,India
50031,1001,2024-04-18,DELIVERED,WEB,JPY,7300.00,0.00,Tokyo,Japan
50032,1004,2024-04-18,SHIPPED,WEB,INR,4999.00,500.00,Bengaluru,India
50033,1007,2024-04-19,DELIVERED,MOBILE,GBP,125.00,0.00,London,United Kingdom
50034,1011,2024-04-19,DELIVERED,MARKETPLACE,USD,310.50,30.00,San Francisco,United States
50035,1015,2024-04-20,SHIPPED,WEB,EUR,95.00,0.00,Paris,France
50036,1019,2024-04-20,DELIVERED,MOBILE,AUD,75.50,5.00,Sydney,Australia
50037,1023,2024-04-21,DELIVERED,WEB,CAD,145.00,0.00,Toronto,Canada
50038,1025,2024-04-21,RETURNED,MARKETPLACE,KRW,88000.00,8000.00,Busan,South Korea
50039,1027,2024-04-22,DELIVERED,WEB,USD,199.99,0.00,Seattle,United States
50040,1030,2024-04-22,PENDING,MOBILE,INR,750.00,0.00,Mumbai,India
