product_id,sku,product_name,category,brand,unit_price,cost_price,active,launch_date,attributes
2001,HOME-001,Smart LED Bulb,Home,Northstar,19.99,6.25,true,2023-01-15,"{\"color\":\"warm white\",\"wattage\":9,\"tags\":[\"wifi\",\"dimmable\"]}"
2002,HOME-002,Air Quality Monitor,Home,Northstar,89.00,31.50,true,2023-02-10,"{\"sensors\":[\"co2\",\"pm2.5\"],\"battery\":false}"
2003,TECH-001,Wireless Keyboard,Technology,Keystone,74.50,28.00,true,2023-03-05,"{\"layout\":\"US\",\"connection\":\"bluetooth\",\"backlit\":true}"
2004,TECH-002,USB C Hub,Technology,Keystone,49.95,17.40,true,2023-03-20,"{\"ports\":7,\"power_delivery_watts\":100}"
2005,OUT-001,Trail Water Bottle,Outdoors,Summit,24.00,7.80,true,2023-04-01,"{\"volume_ml\":750,\"insulated\":true,\"color\":\"blue\"}"
2006,OUT-002,Daypack 20L,Outdoors,Summit,65.00,24.75,true,2023-04-18,"{\"volume_l\":20,\"waterproof\":false,\"sizes\":[\"one size\"]}"
2007,OFF-001,Ergonomic Desk Mat,Office,Paperplane,32.50,9.90,true,2023-05-02,"{\"material\":\"cork\",\"width_cm\":80}"
2008,OFF-002,Focus Timer,Office,Paperplane,18.00,5.50,true,2023-05-19,"{\"duration_minutes\":60,\"silent\":true}"
2009,KIT-001,Travel Coffee Kit,Kitchen,Harbor,45.00,16.00,true,2023-06-01,"{\"pieces\":4,\"dishwasher_safe\":false}"
2010,KIT-002,Cast Iron Pan,Kitchen,Harbor,59.00,21.50,true,2023-06-16,"{\"diameter_cm\":26,\"pre_seasoned\":true}"
2011,WELL-001,Yoga Block Set,Wellness,Juniper,28.00,8.60,true,2023-07-03,"{\"pieces\":2,\"material\":\"cork\"}"
2012,WELL-002,Recovery Roller,Wellness,Juniper,39.95,12.25,true,2023-07-21,"{\"length_cm\":33,\"density\":\"medium\"}"
2013,HOME-003,Desk Lamp,Home,Northstar,55.00,18.00,true,2023-08-08,"{\"lumens\":800,\"usb_port\":true}"
2014,TECH-003,Noise Cancelling Headphones,Technology,Keystone,199.00,75.00,true,2023-08-25,"{\"battery_hours\":30,\"codec\":\"AAC\"}"
2015,OUT-003,Camping Lantern,Outdoors,Summit,42.00,14.25,true,2023-09-11,"{\"lumens\":500,\"rechargeable\":true}"
2016,OFF-003,Notebook Set,Office,Paperplane,14.00,3.20,true,2023-09-29,"{\"count\":3,\"paper_gsm\":100}"
2017,KIT-003,Pour Over Kettle,Kitchen,Harbor,68.00,25.00,true,2023-10-12,"{\"volume_ml\":900,\"gooseneck\":true}"
2018,WELL-003,Weighted Eye Pillow,Wellness,Juniper,22.00,6.80,false,2023-10-30,"{\"weight_g\":280,\"filling\":\"flaxseed\"}"
2019,HOME-004,Smart Plug,Home,Northstar,16.50,4.75,true,2023-11-14,"{\"energy_monitoring\":true,\"protocol\":\"wifi\"}"
2020,TECH-004,Portable SSD 1TB,Technology,Keystone,119.00,52.00,true,2023-12-01,"{\"capacity_gb\":1000,\"interface\":\"USB 3.2\"}"
